MatchId,BotType,Result,TimeMs,TotalClicks
685,RandomBot,DEFEAT,0,2
686,RandomBot,DEFEAT,0,3
687,RandomBot,DEFEAT,0,4
688,RandomBot,DEFEAT,0,4
689,RandomBot,DEFEAT,0,1
690,RandomBot,DEFEAT,0,2
691,RandomBot,DEFEAT,0,2
692,RandomBot,DEFEAT,0,2
693,RandomBot,DEFEAT,0,3
694,RandomBot,DEFEAT,0,2
695,RandomBot,VICTORY,0,5
696,RandomBot,DEFEAT,0,3
697,RandomBot,DEFEAT,0,4
698,RandomBot,DEFEAT,0,3
699,RandomBot,DEFEAT,0,2
700,RandomBot,DEFEAT,0,1
701,RandomBot,DEFEAT,0,3
702,RandomBot,DEFEAT,0,3
703,RandomBot,DEFEAT,0,3
704,RandomBot,VICTORY,0,4
705,RandomBot,DEFEAT,0,3
706,RandomBot,DEFEAT,0,1
707,RandomBot,DEFEAT,0,6
708,RandomBot,VICTORY,0,1
709,RandomBot,DEFEAT,0,2
710,RandomBot,DEFEAT,0,3
711,RandomBot,VICTORY,0,1
712,RandomBot,DEFEAT,0,2
713,RandomBot,DEFEAT,0,4
714,RandomBot,DEFEAT,0,3
715,RandomBot,DEFEAT,0,4
716,RandomBot,DEFEAT,0,5
717,RandomBot,DEFEAT,0,3
718,RandomBot,DEFEAT,0,1
719,RandomBot,VICTORY,0,4
720,RandomBot,DEFEAT,0,2
721,RandomBot,DEFEAT,0,4
722,RandomBot,DEFEAT,0,2
723,RandomBot,VICTORY,0,1
724,RandomBot,DEFEAT,0,4
725,RandomBot,VICTORY,0,1
726,RandomBot,DEFEAT,0,2
727,RandomBot,DEFEAT,0,1
728,RandomBot,DEFEAT,0,2
729,RandomBot,DEFEAT,0,2
730,RandomBot,DEFEAT,0,5
731,RandomBot,DEFEAT,0,1
732,RandomBot,DEFEAT,0,2
733,RandomBot,VICTORY,0,2
734,RandomBot,DEFEAT,0,2
735,RandomBot,DEFEAT,0,2
736,RandomBot,VICTORY,0,5
737,RandomBot,DEFEAT,0,3
738,RandomBot,DEFEAT,0,3
